bundleID,starter,maindishI,maindishII,side,dessert,avg_rating
262,Sticky Chicken Tenders,BBQ Chicken,Steak Sampler,Potato Salad,Apple Pie a la Mode,3.938
263,Sticky Chicken Tenders,BBQ Chicken,Steak Sampler,French Fry Platter,Blondie Brownie,6.018
264,Sticky Chicken Tenders,BBQ Chicken,Steak Sampler,French Fry Platter,Apple Pie a la Mode,8.678
265,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Blondie Brownie,5.73
266,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Apple Pie a la Mode,9.292
267,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Blondie Brownie,5.4
268,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Apple Pie a la Mode,9.35
269,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Blondie Brownie,5.18
270,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Apple Pie a la Mode,9.76
271,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Blondie Brownie,9.572
272,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,7.66
273,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Blondie Brownie,7.61
274,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Apple Pie a la Mode,9.41
275,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Blondie Brownie,8.66
276,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Apple Pie a la Mode,8.3
277,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Blondie Brownie,4.63
278,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,7.8
279,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Blondie Brownie,8.66
280,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Apple Pie a la Mode,6.2
281,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Blondie Brownie,7.34
282,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,8.3
283,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Blondie Brownie,8.068
284,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,8.588
285,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Blondie Brownie,6.368
286,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Apple Pie a la Mode,4.918
287,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Blondie Brownie,7.678
288,Sticky Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Apple Pie a la Mode,7.598
289,Jumbo Shrimp Cocktail,BBQ Brisket,Sausage,Mac and Cheese,Blondie Brownie,5.2
290,Jumbo Shrimp Cocktail,BBQ Brisket,Sausage,Mac and Cheese,Apple Pie a la Mode,5.13
291,Jumbo Shrimp Cocktail,BBQ Brisket,Sausage,Potato Salad,Blondie Brownie,8.26
292,Jumbo Shrimp Cocktail,BBQ Brisket,Sausage,Potato Salad,Apple Pie a la Mode,6.84
293,Jumbo Shrimp Cocktail,BBQ Brisket,Sausage,French Fry Platter,Blondie Brownie,4.8
294,Jumbo Shrimp Cocktail,BBQ Brisket,Sausage,French Fry Platter,Apple Pie a la Mode,3.46
295,Jumbo Shrimp Cocktail,BBQ Brisket,Lobster Roll,Mac and Cheese,Blondie Brownie,8.95
296,Jumbo Shrimp Cocktail,BBQ Brisket,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.3012
297,Jumbo Shrimp Cocktail,BBQ Brisket,Lobster Roll,Potato Salad,Blondie Brownie,6.15
298,Jumbo Shrimp Cocktail,BBQ Brisket,Lobster Roll,Potato Salad,Apple Pie a la Mode,5.38
299,Jumbo Shrimp Cocktail,BBQ Brisket,Lobster Roll,French Fry Platter,Blondie Brownie,8.49
300,Jumbo Shrimp Cocktail,BBQ Brisket,Lobster Roll,French Fry Platter,Apple Pie a la Mode,9.86
301,Jumbo Shrimp Cocktail,BBQ Brisket,Beef Short Rib,Mac and Cheese,Blondie Brownie,5.88
302,Jumbo Shrimp Cocktail,BBQ Brisket,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,8.45
303,Jumbo Shrimp Cocktail,BBQ Brisket,Beef Short Rib,Potato Salad,Blondie Brownie,8.97
304,Jumbo Shrimp Cocktail,BBQ Brisket,Beef Short Rib,Potato Salad,Apple Pie a la Mode,4.21
305,Jumbo Shrimp Cocktail,BBQ Brisket,Beef Short Rib,French Fry Platter,Blondie Brownie,5.62
306,Jumbo Shrimp Cocktail,BBQ Brisket,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,5.2
307,Jumbo Shrimp Cocktail,BBQ Brisket,Steak Sampler,Mac and Cheese,Blondie Brownie,4.568
308,Jumbo Shrimp Cocktail,BBQ Brisket,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,5.548
309,Jumbo Shrimp Cocktail,BBQ Brisket,Steak Sampler,Potato Salad,Blondie Brownie,2.008
310,Jumbo Shrimp Cocktail,BBQ Brisket,Steak Sampler,Potato Salad,Apple Pie a la Mode,6.188
311,Jumbo Shrimp Cocktail,BBQ Brisket,Steak Sampler,French Fry Platter,Blondie Brownie,5.758
312,Jumbo Shrimp Cocktail,BBQ Brisket,Steak Sampler,French Fry Platter,Apple Pie a la Mode,8.348
313,Jumbo Shrimp Cocktail,Pulled Pork,Sausage,Mac and Cheese,Blondie Brownie,4.54
314,Jumbo Shrimp Cocktail,Pulled Pork,Sausage,Mac and Cheese,Apple Pie a la Mode,7.72
315,Jumbo Shrimp Cocktail,Pulled Pork,Sausage,Potato Salad,Blondie Brownie,2.87
316,Jumbo Shrimp Cocktail,Pulled Pork,Sausage,Potato Salad,Apple Pie a la Mode,7.05
317,Jumbo Shrimp Cocktail,Pulled Pork,Sausage,French Fry Platter,Blondie Brownie,9.23
318,Jumbo Shrimp Cocktail,Pulled Pork,Sausage,French Fry Platter,Apple Pie a la Mode,7.16
319,Jumbo Shrimp Cocktail,Pulled Pork,Lobster Roll,Mac and Cheese,Blondie Brownie,6.99
320,Jumbo Shrimp Cocktail,Pulled Pork,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.81
321,Jumbo Shrimp Cocktail,Pulled Pork,Lobster Roll,Potato Salad,Blondie Brownie,6.76
322,Jumbo Shrimp Cocktail,Pulled Pork,Lobster Roll,Potato Salad,Apple Pie a la Mode,6.94
323,Jumbo Shrimp Cocktail,Pulled Pork,Lobster Roll,French Fry Platter,Blondie Brownie,7.05
324,Jumbo Shrimp Cocktail,Pulled Pork,Lobster Roll,French Fry Platter,Apple Pie a la Mode,6.74
325,Jumbo Shrimp Cocktail,Pulled Pork,Beef Short Rib,Mac and Cheese,Blondie Brownie,5.5
326,Jumbo Shrimp Cocktail,Pulled Pork,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,9.37
327,Jumbo Shrimp Cocktail,Pulled Pork,Beef Short Rib,Potato Salad,Blondie Brownie,7.72
328,Jumbo Shrimp Cocktail,Pulled Pork,Beef Short Rib,Potato Salad,Apple Pie a la Mode,7.3
329,Jumbo Shrimp Cocktail,Pulled Pork,Beef Short Rib,French Fry Platter,Blondie Brownie,4.59
330,Jumbo Shrimp Cocktail,Pulled Pork,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,6.48
331,Jumbo Shrimp Cocktail,Pulled Pork,Steak Sampler,Mac and Cheese,Blondie Brownie,5.508
332,Jumbo Shrimp Cocktail,Pulled Pork,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,8.5248
333,Jumbo Shrimp Cocktail,Pulled Pork,Steak Sampler,Potato Salad,Blondie Brownie,5.198
334,Jumbo Shrimp Cocktail,Pulled Pork,Steak Sampler,Potato Salad,Apple Pie a la Mode,5.178
335,Jumbo Shrimp Cocktail,Pulled Pork,Steak Sampler,French Fry Platter,Blondie Brownie,6.378
336,Jumbo Shrimp Cocktail,Pulled Pork,Steak Sampler,French Fry Platter,Apple Pie a la Mode,8.818
337,Jumbo Shrimp Cocktail,BBQ Chicken,Sausage,Mac and Cheese,Blondie Brownie,7.6
338,Jumbo Shrimp Cocktail,BBQ Chicken,Sausage,Mac and Cheese,Apple Pie a la Mode,6.28
339,Jumbo Shrimp Cocktail,BBQ Chicken,Sausage,Potato Salad,Blondie Brownie,5.21
340,Jumbo Shrimp Cocktail,BBQ Chicken,Sausage,Potato Salad,Apple Pie a la Mode,7.18
341,Jumbo Shrimp Cocktail,BBQ Chicken,Sausage,French Fry Platter,Blondie Brownie,7.68
342,Jumbo Shrimp Cocktail,BBQ Chicken,Sausage,French Fry Platter,Apple Pie a la Mode,5.12
343,Jumbo Shrimp Cocktail,BBQ Chicken,Lobster Roll,Mac and Cheese,Blondie Brownie,5.09
344,Jumbo Shrimp Cocktail,BBQ Chicken,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,6.8
345,Jumbo Shrimp Cocktail,BBQ Chicken,Lobster Roll,Potato Salad,Blondie Brownie,3.91
346,Jumbo Shrimp Cocktail,BBQ Chicken,Lobster Roll,Potato Salad,Apple Pie a la Mode,8.88
347,Jumbo Shrimp Cocktail,BBQ Chicken,Lobster Roll,French Fry Platter,Blondie Brownie,7.51
348,Jumbo Shrimp Cocktail,BBQ Chicken,Lobster Roll,French Fry Platter,Apple Pie a la Mode,9.23
349,Jumbo Shrimp Cocktail,BBQ Chicken,Beef Short Rib,Mac and Cheese,Blondie Brownie,3.93
350,Jumbo Shrimp Cocktail,BBQ Chicken,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,9.41
351,Jumbo Shrimp Cocktail,BBQ Chicken,Beef Short Rib,Potato Salad,Blondie Brownie,3.18
352,Jumbo Shrimp Cocktail,BBQ Chicken,Beef Short Rib,Potato Salad,Apple Pie a la Mode,7.66
353,Jumbo Shrimp Cocktail,BBQ Chicken,Beef Short Rib,French Fry Platter,Blondie Brownie,5.96
354,Jumbo Shrimp Cocktail,BBQ Chicken,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,3.42
355,Jumbo Shrimp Cocktail,BBQ Chicken,Steak Sampler,Mac and Cheese,Blondie Brownie,6.478
356,Jumbo Shrimp Cocktail,BBQ Chicken,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,7.738
357,Jumbo Shrimp Cocktail,BBQ Chicken,Steak Sampler,Potato Salad,Blondie Brownie,7.668
358,Jumbo Shrimp Cocktail,BBQ Chicken,Steak Sampler,Potato Salad,Apple Pie a la Mode,7.908
359,Jumbo Shrimp Cocktail,BBQ Chicken,Steak Sampler,French Fry Platter,Blondie Brownie,6.448
360,Jumbo Shrimp Cocktail,BBQ Chicken,Steak Sampler,French Fry Platter,Apple Pie a la Mode,3.568
361,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Blondie Brownie,8.05
362,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Apple Pie a la Mode,9.6
363,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Blondie Brownie,3.66
364,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Apple Pie a la Mode,8
365,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Blondie Brownie,5.95
366,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Apple Pie a la Mode,8.65
367,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Blondie Brownie,7.73
368,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.574
369,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Blondie Brownie,6.91
370,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Apple Pie a la Mode,6.66
371,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Blondie Brownie,7.37
372,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Apple Pie a la Mode,7.98
373,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Blondie Brownie,8.83
374,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,6.85
375,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Blondie Brownie,7.84
376,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Apple Pie a la Mode,9.63
377,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Blondie Brownie,7.49
378,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,6.23
379,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Blondie Brownie,6.038
380,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,4.738
381,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Blondie Brownie,4.768
382,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Apple Pie a la Mode,6.248
383,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Blondie Brownie,7.138
384,Jumbo Shrimp Cocktail,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Apple Pie a la Mode,7.428
